image_id,image_name,image_url,grantha_id,worked_by,file_format,scanner_model,resolution_dpi,lighting_conditions,color_depth,scanning_start_date,scanning_completed_date,post_scanning_completed_date,horizontal_or_vertical_scan
P-009-R,P-009-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W4\P-009-R.png,TP_DBU-0001-W4,Gopalakrishna Bhat,PNG,Canon CanoScan LiDE 600F,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,H-Scan
P-010-F,P-010-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W4\P-010-F.png,TP_DBU-0001-W4,Gopalakrishna Bhat,PNG,Canon CanoScan LiDE 600F,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,H-Scan
P-010-R,P-010-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W4\P-010-R.png,TP_DBU-0001-W4,Gopalakrishna Bhat,PNG,Canon CanoScan LiDE 600F,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,H-Scan
P-001-F,P-001-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-001-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-001-R,P-001-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-001-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-002-F,P-002-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-002-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-002-R,P-002-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-002-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-003-F,P-003-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-003-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-003-R,P-003-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-003-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-004-F,P-004-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-004-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-004-R,P-004-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-004-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-005-F,P-005-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-005-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-005-R,P-005-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-005-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-006-F,P-006-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-006-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-006-R,P-006-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-006-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-007-F,P-007-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-007-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-007-R,P-007-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-007-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-008-F,P-008-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-008-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-008-R,P-008-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-008-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-009-F,P-009-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-009-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-009-R,P-009-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-009-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-010-F,P-010-F,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-010-F.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
P-010-R,P-010-R,C:\Users\HARSHITH\Pictures\TP_DEBU-0001\TP_DBU-0001-W5\P-010-R.png,TP_DBU-0001-W5,Suresh Hebbar,PNG,Epson Perfection V600,96x96,good,64-bit,15-03-2024,18-03-2024,20-03-2024,V-Scan
